id,userid,uploaded_time,QR Scanner,Machine ID,Original Factory,Original Sub Factory,Original Line,Original Section,Operation,New Section,New Line,New Sub Factory,New Factory,Approval,Final Factory,Final Sub Factory,Final New Line,Final Section,Cost,Budget For Maintainance ,SourceSheet
2677,Gopal T,2025-04-07 14:33:10,"{""machine_id"":""DF 013_PDAQE01306""}",DF 013_PDAQE01306,Laguna Clothing A,Factory 1,Line-3,Assembly,YOKE ATTACH,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
2413,Ramesh,2025-03-17 09:39:22,"{""machine_id"":""OL 006_6MORA03663""}",OL 006_6MORA03663,Laguna Clothing A,Factory-3,Line-7,Collar,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2404,Gopal T,2025-03-10 15:27:34,"{""machine_id"":""DNLS 001_8L3QK00415""}",DNLS 001_8L3QK00415,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
2335,Naveen S,2025-03-03 13:54:00,"{""machine_id"":""Bartack 003_2L1NB00614""}",Bartack 003_2L1NB00614,Laguna Clothing A,Factory-3,Line-7,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
2334,Ramesh,2025-03-03 12:35:49,,OL 007_RMOQD01828,Laguna Clothing A,Factory 1,Line-2,Sleeve,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2327,Gopal T,2025-03-03 11:19:08,"{""machine_id"":""OL 027_1211969""}",OL 027_1211969,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2318,Gopal T,2025-03-03 11:11:04,,CA 010_2D4FJ00204,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
2251,Ramesh,2025-02-27 10:45:47,"{""machine_id"":""BS 021_2L1RE00437""}",BS 021_2L1RE00437,Laguna Clothing A,Factory-2,Line-4,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,3900,195,Line 1
2238,Jeevaraj P,2025-02-21 11:46:11,,NF 105_2D3GH00097,Laguna Clothing A,Factory-3,Line-6,Collar,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
2237,Gopal T,2025-02-21 11:40:22,"{""machine_id"":""POST BED M/C 008_035""}",POST BED M/C 008_035,Laguna Clothing A,Factory-3,Line-7,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
